Date,TSLA,NIO,RIVN,LCID,F,GM,BYDDF,XPEV
2022-12-01 00:00:00-05:00,194.6999969482422,12.09000015258789,31.479999542236328,9.829999923706055,11.908594131469727,39.58995056152344,24.569982528686523,9.970000267028809
2022-12-02 00:00:00-05:00,194.86000061035156,13.130000114440918,31.360000610351562,10.149999618530273,11.722522735595703,39.07096481323242,25.373628616333008,11.449999809265137
2022-12-05 00:00:00-05:00,182.4499969482422,12.800000190734863,29.530000686645508,9.430000305175781,11.316547393798828,37.98402404785156,24.099557876586914,11.34000015258789
2022-12-06 00:00:00-05:00,179.82000732421875,13.239999771118164,27.889999389648438,8.649999618530273,11.23197078704834,37.230018615722656,25.167816162109375,11.6899995803833
2022-12-07 00:00:00-05:00,174.0399932861328,12.579999923706055,27.940000534057617,8.609999656677246,11.079730033874512,37.171260833740234,25.677446365356445,11.0
2022-12-08 00:00:00-05:00,173.44000244140625,13.40999984741211,28.579999923706055,8.680000305175781,11.096646308898926,37.406280517578125,27.049522399902344,11.819999694824219
2022-12-09 00:00:00-05:00,179.0500030517578,12.630000114440918,27.290000915527344,8.680000305175781,11.147392272949219,37.484615325927734,26.50069236755371,10.9399995803833
2022-12-12 00:00:00-05:00,167.82000732421875,12.489999771118164,25.610000610351562,8.279999732971191,11.384209632873535,37.69025802612305,26.539894104003906,10.470000267028809
2022-12-13 00:00:00-05:00,160.9499969482422,12.3100004196167,24.959999084472656,7.989999771118164,11.47724723815918,37.964439392089844,26.216474533081055,10.3100004196167
2022-12-14 00:00:00-05:00,156.8000030517578,12.100000381469727,24.540000915527344,7.679999828338623,11.40112590789795,37.56295394897461,25.82445526123047,10.1899995803833
2022-12-15 00:00:00-05:00,157.6699981689453,11.880000114440918,23.969999313354492,7.449999809265137,11.020524978637695,36.83832931518555,25.91265869140625,10.130000114440918
2022-12-16 00:00:00-05:00,150.22999572753906,11.600000381469727,22.479999542236328,7.369999885559082,10.25086498260498,35.39887619018555,25.893056869506836,10.300000190734863
2022-12-19 00:00:00-05:00,149.8699951171875,11.0600004196167,22.030000686645508,7.230000019073486,9.887178421020508,34.684043884277344,25.158016204833984,9.65999984741211
2022-12-20 00:00:00-05:00,137.8000030517578,11.09000015258789,21.399999618530273,7.230000019073486,9.701107025146484,34.46861267089844,25.13841438293457,10.1899995803833
2022-12-21 00:00:00-05:00,137.57000732421875,11.609999656677246,21.030000686645508,7.179999828338623,9.963299751281738,35.15407180786133,25.4520320892334,11.300000190734863
